alpha,run,nodes,edges,avg_clustering,max_degree,avg_degree,degree_variance,gini_coefficient,char_path_length,network_diameter,power_law_exponent,degree_centralization,assortativity
1.0,0,1000,3015,0.0552019491723591,104,6.03,70.80909999999999,0.3796752902155887,3.3521601601601603,6,1.6312243329126235,0.09826459726259539,-0.06781649782658945
1.0,1,1000,3015,0.04952474440206381,91,6.03,67.61710000000001,0.3830991708126037,3.3637297297297297,6,1.630320144790096,0.08522550606718797,-0.05680632379791686
1.0,2,1000,3015,0.049004650323373054,103,6.03,73.29709999999999,0.3879950248756219,3.3183983983983985,6,1.6496518723491587,0.0972615902475638,-0.07319177466740598
1.0,3,1000,3015,0.04265657146851083,92,6.03,60.71309999999999,0.3777064676616916,3.4092412412412414,6,1.6974554764007748,0.0862285130822188,-0.04572862774690625
1.0,4,1000,3015,0.05507533286293613,132,6.03,72.8791,0.38274461028192375,3.350048048048048,6,1.622152815766608,0.12634879368346094,-0.0828600056201749
1.0,5,1000,3015,0.047046581429328736,120,6.03,63.81709999999999,0.3786676616915423,3.396226226226226,6,1.7218965739400882,0.1143127095030912,-0.05065374995147909
1.0,6,1000,3015,0.03390867400839398,104,6.03,55.2511,0.3707436152570481,3.4487607607607607,6,1.766888936438854,0.09826459726259539,-0.03160896588068946
1.0,7,1000,3015,0.041701043620664756,112,6.03,60.2471,0.37275257048092875,3.4276936936936937,6,1.7303673322155517,0.1062886533828426,-0.03429757880165119
1.0,8,1000,3015,0.04704066864247363,108,6.03,63.65309999999999,0.3853127694859038,3.3905685685685687,6,1.7354022826199194,0.10227662532271901,-0.06326871046905382
1.0,9,1000,3015,0.05186421753742697,114,6.03,67.2951,0.38707164179104475,3.370642642642643,6,1.6912729556748065,0.10829466741290557,-0.06603317506420776
1.0,10,1000,3015,0.044135686138962155,102,6.03,65.6831,0.37548258706467663,3.375845845845846,6,1.640493901641298,0.09625858323252932,-0.052138600951188066
1.0,11,1000,3015,0.053031763810192395,123,6.03,73.5891,0.3827724709784411,3.3380720720720722,6,1.64761350128993,0.11732173054818369,-0.06634344162095651
1.0,12,1000,3015,0.05248939331395405,118,6.03,72.8731,0.37935290215588724,3.3525905905905904,6,1.614075285888563,0.11230669547302949,-0.07296601933954174
1.0,13,1000,3015,0.0450153436566893,92,6.03,61.85709999999999,0.3830003316749585,3.392132132132132,6,1.7283342850498584,0.08622851308221877,-0.054307909542426404
1.0,14,1000,3015,0.043896890543398986,115,6.03,64.7091,0.38131044776119405,3.3864864864864863,6,1.697438270699679,0.1092976744279367,-0.0604081414166035
1.0,15,1000,3015,0.04682061924552349,120,6.03,68.71910000000001,0.38130978441127694,3.3566946946946947,6,1.6712511168823698,0.11431270950309125,-0.06625237467827357
1.0,16,1000,3015,0.054580171819879016,98,6.03,72.1111,0.38278938640132676,3.3455735735735734,6,1.6324182561335727,0.09224655517240594,-0.061196919212246716
1.0,17,1000,3015,0.0435195731572786,103,6.03,59.20909999999999,0.3803356550580431,3.4207947947947948,6,1.7248355895247105,0.09726159024756358,-0.043584228481363105
1.0,18,1000,3015,0.040482835465464245,126,6.03,59.583099999999995,0.3780792703150912,3.4133213213213214,6,1.7379423024459626,0.12033075159327607,-0.0457084146191027
1.0,19,1000,3015,0.04399993321163691,111,6.03,65.5231,0.3821462686567164,3.371701701701702,6,1.6751355902753813,0.10528564636781172,-0.052757415707451606
