Gene,Essential
YCR022C,1
YCR043C,1
YDR308C,1
YKL138C-A,1
YER048W-A,1
YMR290W-A,1
YDR187C,1
YGL061C,1
YGL262W,1
YDR512C,1
YDR413C,1
YJR112W,1
YIR042C,1
YBL001C,1
YBR242W,1
YJR057W,1
YPL135W,0
YIL060W,1
YDR016C,1
YGL034C,1
YBL065W,1
YBL073W,1
YHL006C,1
YBR253W,1
YBR217W,1
YPR177C,1
YCR013C,1
YDR236C,0
YNL024C-A,1
YFR020W,1
YCR028C-A,1
YHR148W,1
YCR087C-A,1
YDR468C,1
YMR175W,1
YKR006C,1
YGR115C,1
YBR197C,1
YLR076C,1
YJL097W,1
YPL077C,1
YHR022C,1
YLR099W-A,1
YPR039W,1
YPR053C,1
YGR280C,1
YLR012C,1
YGR135W,1
YDR476C,1
YDR488C,1
YDR499W,1
YKR037C,1
YKR038C,1
YKR039W,1
YKR055W,1
YAL034C,1
YAL042C-A,1
YAL064C-A,1
YOL114C,1
YBR084C-A,0
YDL002C,1
YDL094C,1
YDL095W,1
YHR005C-A,1
YDR142C,0
YDR163W,1
YDR164C,1
YDR166C,1
YDR323C,1
YCR001W,1
YCR006C,1
YCR007C,1
YGR273C,1
YGR277C,0
YGR278W,1
YDR168W,1
YDR174W,1
YGR024C,1
YGR029W,0
YGR033C,1
YGR034W,1
YGR039W,1
YGR051C,1
YDL153C,1
YGR056W,1
YGR211W,1
YCR015C,1
YCR017C,0
YHR056C,1
YHR058C,1
YDL129W,1
YDL133C-A,0
YDL144C,1
YDL147W,1
YDL164C,1
YDL166C,1
YDL177C,1
YDL184C,0
YDL186W,1
YGR214W,0
YGR235C,1
YDL003W,1
YHR072W,1
YDL005C,1
YDL009C,1
YHR073W,1
YHR074W,1
YKL036C,1
YKL037W,0
YKL044W,1
YKL052C,1
YDR520C,1
YDR535C,1
YER093C-A,0
YGL010W,1
YGL011C,1
YGL012W,0
YKR076W,1
YKR081C,1
YKR083C,1
YBL096C,1
YDL019C,1
YDL022W,1
YDL029W,1
YDL031W,1
YDL032W,1
YDL034W,1
YBL106C,0
YBL102W,1
YBL105C,1
YGR198W,1
YGR199W,1
YDR185C,0
YDR188W,1
YDR196C,0
YDR201W,1
YDR209C,1
YDR361C,1
YDR355C,1
YDR367W,1
YDR376W,1
YDR387C,1
YDR390C,1
YGR070W,0
YGR073C,1
YGR077C,1
YPR170W-B,1
YCR023C,1
YCR025C,1
YCR034W,0
YDL196W,1
YDR228C,1
YGL095C,1
YGL098W,1
YGL102C,1
YGL106W,1
YDL198C,1
YGL118C,1
YGL123W,1
YGR079W,1
YDL217C,1
YGR096W,1
YDL206W,1
YDL208W,1
YDL213C,1
YDL220C,1
YDL221W,1
YDL233W,1
YDL237W,1
YDL241W,1
YDR002W,1
YDR020C,1
YDR029W,1
YGL025C,1
YGL036W,1
YGL045W,1
YDR429C,1
YFL051C,1
YFL040W,1
YFL032W,1
YFL024C,1
YFL019C,1
YDL057W,1
YDL058W,1
YDL062W,1
YDR396W,1
YGR156W,1
YDR238C,1
YDR247W,0
YDR251W,1
YDR274C,1
YDR276C,1
YDR278C,1
YIR016W,1
YDR443C,1
YGR104C,1
YGR169C,1
YGR175C,1
YDR041W,1
YGL137W,1
YGL135W,0
YGL140C,1
YGL146C,1
YGL149W,1
YGL176C,0
YGR114C,1
YGL180W,1
YGL191W,1
YGL192W,1
YGL203C,1
YGR113W,1
YGR118W,0
YGR120C,1
YDL096C,1
YDL097C,1
YDL104C,1
YDL109C,1
YDR053W,1
YDR056C,1
YDR066C,1
YDR087C,1
YDR081C,0
YDR083W,0
YGL074C,1
YDR091C,1
YGL075C,1
YGL078C,1
YGL081W,1
YGL082W,1
YGL091C,1
YFL015C,1
YGL092W,1
YDL114W,1
YDL118W,0
YFL008W,1
YFL005W,1
YFL001W,1
YFR006W,1
YFR031C,1
YFR032C,1
YFR037C,1
YFR041C,1
YFR046C,1
YDR303C,1
YDR315C,0
YJL039C,1
YGR140W,1
YGL223C,1
YGL230C,1
YGL233W,1
YGL247W,1
YDR102C,1
YDR113C,1
YDR119W,1
YFR052W,0
YER044C-A,0
YDL073W,1
YDL075W,0
YDL082W,1
YDL086W,1
YDL087C,1
YBR174C,0
YBR175W,1
YBR184W,1
YBR193C,1
YBR194W,0
YBR057C,1
YBR076W,1
YBR077C,1
YER087W,0
YER092W,1
YIL047C,0
YHL026C,1
YHL038C,1
YHL045W,1
YIR006C,1
YEL028W,1
YEL034W,1
YEL035C,1
YIL063C,1
YIL068C,1
YIL073C,1
YIL076W,1
YAL025C,1
YIR010W,1
YBL029W,1
YBL038W,0
YBL043W,1
YBL044W,1
YHR156C,1
YAL034W-A,1
YLR292C,1
YBL052C,0
YBL049W,1
YCL002C,1
YCL017C,1
YKR003W,1
YKR004C,1
YKR022C,1
YKR024C,1
YBR209W,1
YBR211C,1
YBR219C,1
YBR220C,1
YBR225W,1
YBR229C,0
YCL029C,1
YCL031C,1
YHR001W,1
YHR007C,0
YBR079C,1
YHR009C,0
YHR012W,1
YBR088C,1
YBR091C,1
YBR108W,0
YER123W,1
YER127W,1
YER134C,1
YER135C,1
YIL083C,0
YHR017W,1
YHR024C,1
YMR158C-A,1
YEL057C,0
YEL058W,1
YBL071C,1
YCR050C,1
YCR051W,1
YCR052W,1
YCR054C,1
YHR085W,1
YHR086W,0
YHR090C,1
YHR100C,1
YHR197W,1
YDR322C-A,1
YAR018C,1
YEL020W-A,1
YBL081W,1
YCL043C,1
YKL082C,1
YKL083W,1
YKL088W,0
YKL095W,1
YKL167C,1
YKL186C,1
YBR110W,1
YBR259W,1
YBR265W,1
YER141W,1
YCL049C,1
YCL052C,1
YHR035W,1
YCL059C,1
YHR036W,1
YHR038W,1
YHR040W,1
YBR011C,1
YBR027C,1
YBR032W,1
YBR125C,0
YBR144C,1
YBR137W,1
YBR138C,1
YBR141C,1
YBR142W,1
YBR233W-A,1
YER148W,1
YER152C,1
YER157W,1
YHR052W,1
YBR033W,1
YDR320C-A,1
YCR057C,1
YCR076C,1
YER009W,1
YER021W,1
YER034W,1
YHR210C,1
YIL118W,1
YIL126W,1
YIL135C,0
YKL021C,1
YKL025C,1
YKL204W,1
YIL007C,1
YCR081W,1
YCR085W,1
YCR087W,1
YBL027W,0
YKL111C,1
YKL210W,1
YBR283C,1
YBR284W,1
YBR287W,1
YBR292C,1
YBR300C,1
YER181C,1
YCR090C,1
YHL005C,1
YCR094W,1
YCR101C,1
YEL001C,1
YEL008W,1
YBR171W,1
YEL015W,1
YEL018W,1
YEL023C,1
YER064C,1
YER066W,1
YIL150C,1
YIL161W,1
YHR116W,1
YHR123W,1
YHR130C,1
YIL022W,1
YIL026C,1
YIL040W,0
YKL153W,1
YOL007C,1
YOL088C,0
YOL022C,1
YOL068C,1
YOL085C,1
YOL098C,0
YOL107W,1
YOL135C,1
YOL159C,0
YOR004W,1
YOR005C,1
YCL005W-A,1
YNL138W-A,1
YNR017W,1
YNR021W,1
YNR022C,1
YJR123W,1
YNR038W,1
YNR043W,1
YNR054C,1
YNR065C,1
YPR180W,1
YPR160W,1
YPR175W,1
YPR169W,1
YPR186C,1
YPR189W,0
YPR202W,1
YOR335C,0
YOR361C,1
YOR365C,1
YOR372C,1
YOR376W,1
YOR378W,1
YLR323C,1
YLR318W,1
YLR321C,1
YLR336C,1
YLR339C,1
YLR344W,1
YLR345W,1
YLR346C,1
YMR233W,1
YLR365W,1
YMR186W,1
YJR067C,1
YMR187C,1
YMR196W,1
YMR200W,1
YMR206W,1
YMR208W,0
YMR209C,1
YMR211W,1
YLR399C,1
YMR212C,0
YMR213W,1
YMR220W,1
YMR238W,1
YJR059W,1
YJR100C,0
YJR065C,1
YLR412W,1
YLR371W,0
YLR372W,0
YLR378C,1
YLR379W,1
YLR422W,1
YLR392C,1
YLR396C,1
YLR397C,1
YLR398C,0
YLR406C,0
YLR408C,1
YLR413W,1
