Source,Target
MEL1,YJL092W
YJL092W,YDR078C
YJL092W,YDR510W
YJL092W,YOR355W
Q0085,YCR106W
YCR106W,TORF1
YCR106W,TORF47
YCR106W,YBR134W
YCR106W,YDR222W
YCR106W,YEL072W
YCR106W,YGL247W
YCR106W,YGR081C
YCR106W,YGR140W
YCR106W,YHR130C
YCR106W,YJL006C
YCR106W,YJL077WB
YCR106W,YJL135W
YCR106W,YMR060C
YCR106W,YMR141C
YCR106W,YNL171C
YCR106W,YPL034W
YCR106W,YPL243W
YCR106W,YPL267W
YCR106W,YPR046W
TORF19,YDR361C
YDR361C,YER086W
YDR361C,YGL068W
YDR361C,YHR022C
YDR361C,YJR056C
YDR361C,YMR021C
YDR361C,YPL125W
YDR361C,YPL208W
TORF21,YKR048C
YKR048C,YCL024W
YKR048C,YDL090C
YKR048C,YDL133CA
YKR048C,YDL184C
YKR048C,YDR002W
YKR048C,YDR225W
YKR048C,YGL240W
YKR048C,YJL189W
YKR048C,YKR048C
YKR048C,YMR139W
YKR048C,YNL078W
YKR048C,YOL059W
YKR048C,YOR032C
YAL005C,YBR101C
YAL012W,YAL012W
YAL016W,YIL065C
YAL016W,YNL127W
YIL065C,YCL056C
YIL065C,YDL100C
YIL065C,YJL112W
YIL065C,YJR091C
YIL065C,YLR321C
YNL127W,YDR200C
YNL127W,YKR055W
YAL020C,YBL071WA
YAL021C,YJL112W
YAL021C,YMR124W
YAL021C,YMR181C
YAL021C,YNR052C
YJL112W,YAL032C
YJL112W,YGL115W
YJL112W,YHL004W
YJL112W,YIL152W
YJL112W,YJL058C
YJL112W,YJR003C
YJL112W,YJR046W
YJL112W,YKL189W
YJL112W,YLL001W
YJL112W,YLR291C
YMR124W,YBR188C
YMR124W,YER149C
YMR124W,YGR218W
YMR124W,YIL109C
YMR124W,YLR031W
YMR124W,YLR423C
YMR181C,YGL229C
YMR181C,YHR158C
YMR181C,YPR105C
YNR052C,YDR374C
YNR052C,YGR088W
YNR052C,YMR025W
YNR052C,YNL288W
YAL024C,YHR158C
YHR158C,YGR238C
YHR158C,YJR122W
YHR158C,YLR452C
YHR158C,YOR047C
YAL027W,YPL022W
YPL022W,YLR135W
YPL022W,YML095C
YAL028W,YDL239C
YDL239C,YBR072W
YDL239C,YDR148C
YDL239C,YDR176W
YDL239C,YDR273W
YDL239C,YDR520C
YDL239C,YGL153W
YDL239C,YGR268C
YDL239C,YHR184W
YDL239C,YKL103C
YDL239C,YKR034W
YDL239C,YLR072W
YDL239C,YLR098C
YDL239C,YLR423C
YDL239C,YML042W
YDL239C,YNR012W
YDL239C,YOL091W
YDL239C,YOR304CA
YDL239C,YOR324C
YDL239C,YOR380W
YDL239C,YPL049C
YDL239C,YPL070W
YDL239C,YPL124W
YDL239C,YPL255W
YAL032C,YDR416W
YAL032C,YDR448W
YAL032C,YDR532C
YAL032C,YLR345W
YAL032C,YLR423C
YAL032C,YNL229C
YAL032C,YPL151C
YDR416W,YBR188C
YDR416W,YGR129W
YDR416W,YGR195W
YDR416W,YHL004W
YDR416W,YHR184W
YDR416W,YJR050W
YDR416W,YKL098W
YDR448W,YAL036C
YDR448W,YCR083W
YDR448W,YDR045C
YDR448W,YDR171W
YDR448W,YDR176W
YDR448W,YER018C
YDR448W,YGR142W
YDR448W,YGR195W
YDR448W,YGR252W
YDR448W,YGR261C
YDR448W,YHL004W
YDR448W,YHR022C
YDR448W,YJL011C
YDR448W,YJL058C
YDR448W,YJR003C
YDR448W,YLR424W
YDR448W,YML041C
YDR448W,YMR314W
YDR448W,YPL077C
YDR448W,YPL122C
YDR448W,YPL135W
YDR448W,YPR173C
YDR532C,YFR008W
YDR532C,YIL144W
YDR532C,YLR031W
YLR345W,YBR221C
YLR345W,YBR244W
YLR345W,YGR158C
YLR345W,YIR015W
YLR345W,YIR037W
YLR345W,YJL155C
YLR345W,YLR257W
YLR345W,YLR321C
YLR345W,YLR345W
YLR423C,YAL036C
YLR423C,YBR102C
YLR423C,YBR123C
YLR423C,YBR182C
YLR423C,YBR217W
YLR423C,YBR270C
YLR423C,YCL032W
YLR423C,YCL063W
YLR423C,YDR022C
YLR423C,YDR052C
YLR423C,YDR085C
YLR423C,YDR138W
YLR423C,YDR159W
YLR423C,YDR176W
YLR423C,YDR240C
YLR423C,YDR259C
YLR423C,YDR311W
YLR423C,YDR357C
YLR423C,YDR374C
YLR423C,YDR473C
YLR423C,YER092W
YLR423C,YER127W
YLR423C,YGL086W
YLR423C,YGL127C
YLR423C,YGL237C
YLR423C,YGR113W
YLR423C,YGR119C
YLR423C,YGR120C
YLR423C,YGR261C
YLR423C,YHL004W
YLR423C,YHR114W
YLR423C,YHR167W
YLR423C,YHR197W
YLR423C,YIL079C
YLR423C,YIL084C
YLR423C,YIL092W
YLR423C,YIL105C
YLR423C,YIL144W
YLR423C,YIL152W
YLR423C,YIL153W
YLR423C,YIR017C
YLR423C,YJL025W
YLR423C,YJL036W
YLR423C,YJL048C
YLR423C,YJL058C
YLR423C,YJL061W
YLR423C,YJR003C
YLR423C,YJR101W
YLR423C,YKL002W
YLR423C,YKL050C
YLR423C,YKL074C
YLR423C,YKL189W
YLR423C,YKR037C
YLR423C,YKR083C
YLR423C,YLL049W
YLR423C,YLR089C
YLR423C,YLR132C
YLR423C,YLR291C
YLR423C,YLR423C
YLR423C,YLR424W
YLR423C,YLR439W
YLR423C,YML041C
YLR423C,YML043C
YLR423C,YML062C
YLR423C,YML064C
YLR423C,YMR059W
YLR423C,YMR213W
YLR423C,YNL182C
YLR423C,YNL288W
YLR423C,YOL034W
YLR423C,YOR117W
YLR423C,YOR158W
YLR423C,YOR226C
YLR423C,YOR353C
YLR423C,YPL077C
YLR423C,YPL159C
YLR423C,YPL173W
YLR423C,YPL268W
YNL229C,YBL101WA
YNL229C,YDR473C
YNL229C,YIL153W
YNL229C,YJL058C
YNL229C,YKR034W
YNL229C,YLR291C
YNL229C,YLR389C
YNL229C,YMR314W
YNL229C,YNL229C
YNL229C,YOL034W
YNL229C,YPL070W
YPL151C,YOR036W
YAL034WA,YGL172W
YAL034WA,YGR120C
YAL034WA,YJR112W
YAL034WA,YKL103C
YGL172W,YGR119C
YGL172W,YNL041C
YGL172W,YNL086W
YGR120C,YDR311W
YGR120C,YEL051W
YGR120C,YER157W
YGR120C,YFR002W
YGR120C,YGR082W
YGR120C,YGR120C
YGR120C,YHL004W
YGR120C,YIL144W
YGR120C,YLR291C
YGR120C,YMR025W
YGR120C,YNL086W
YGR120C,YNR025C
YGR120C,YOR158W
YGR120C,YOR353C
YGR120C,YPL077C
YGR120C,YPR105C
YGR120C,YPR185W
YGR120C,YPR191W
YKL103C,YBL037W
YKL103C,YCL033C
YKL103C,YDR311W
YKL103C,YGL156W
YKL103C,YHR113W
YKL103C,YIL109C
YKL103C,YKL103C
YKL103C,YLR291C
YKL103C,YLR385C
YKL103C,YML064C
YKL103C,YMR218C
YKL103C,YNL107W
YKL103C,YNL189W
YKL103C,YOL082W
YKL103C,YOL145C
YKL103C,YOR136W
YKL103C,YPR049C
YAL036C,YDR152W
YAL036C,YOR174W
YDR152W,YGR173W
YOR174W,YBR150C
YOR174W,YDR308C
YOR174W,YDR408C
YOR174W,YEL051W
YOR174W,YGL127C
YOR174W,YIL144W
YOR174W,YLR385C
YOR174W,YNL086W
YOR174W,YNR010W
YOR174W,YOL135C
YAL040C,YJL013C
YJL013C,YGL229C
YJL013C,YGR014W
YJL013C,YNL236W
YJL013C,YOR026W
YAL041W,YBR200W
YBR200W,YJL157C
YAL044WA,YDR098C
YAL044WA,YER174C
YAL044WA,YNL218W
YAL044WA,YNL249C
YDR098C,YAL046C
YDR098C,YGL071W
YDR098C,YGL220W
YER174C,YAL046C
YER174C,YGR262C
YNL218W,YJL030W
YNL218W,YMR102C
YNL218W,YNL218W
YNL249C,YNL249C
YNL249C,YPL125W
YAL046C,YKR034W
YKR034W,YBR188C
YKR034W,YCR086W
YKR034W,YDR063W
YKR034W,YDR520C
YKR034W,YFL017WA
YKR034W,YGR047C
YKR034W,YGR195W
YKR034W,YGR247W
YKR034W,YKR034W
YKR034W,YLR132C
YKR034W,YLR291C
YKR034W,YLR424W
YKR034W,YMR308C
YKR034W,YNL021W
YKR034W,YOL054W
YKR034W,YOL145C
YAL049C,YNL094W
YNL094W,YBR260C
YNL094W,YDR388W
YNL094W,YFR024CA
YNL094W,YHR114W
YNL094W,YNL025C
YNL094W,YOR043W
YAL054C,YDR216W
YAL054C,YLR049C
YAL054C,YNL189W
YLR049C,YPL161C
YNL189W,YBR072W
YNL189W,YBR080C
YNL189W,YBR137W
YNL189W,YBR176W
YNL189W,YBR252W
YNL189W,YCL028W
YNL189W,YCL040W
YNL189W,YCR076C
YNL189W,YDL236W
YNL189W,YDR100W
YNL189W,YDR174W
YNL189W,YDR201W
YNL189W,YDR256C
YNL189W,YDR318W
YNL189W,YDR383C
YNL189W,YDR453C
YNL189W,YDR480W
YNL189W,YDR487C
YNL189W,YDR510W
YNL189W,YDR533C
YNL189W,YEL066W
YNL189W,YER065C
YNL189W,YFL010C
YNL189W,YFL039C
YNL189W,YFL059W
YNL189W,YFL061W
YNL189W,YFR047C
YNL189W,YGL037C
YNL189W,YGL040C
YNL189W,YGL166W
YNL189W,YGL175C
YNL189W,YGL221C
YNL189W,YGL238W
YNL189W,YGR010W
YNL189W,YGR024C
YNL189W,YGR136W
YNL189W,YGR144W
YNL189W,YGR192C
YNL189W,YGR267C
YNL189W,YHL009C
YNL189W,YHL018W
YNL189W,YHR025W
YNL189W,YHR112C
YNL189W,YHR113W
YNL189W,YHR216W
YNL189W,YJL199C
YNL189W,YJL218W
YNL189W,YJR010W
YNL189W,YJR021C
YNL189W,YJR056C
YNL189W,YJR133W
YNL189W,YJR159W
YNL189W,YKL067W
YNL189W,YKL130C
YNL189W,YLR209C
YNL189W,YLR245C
YNL189W,YLR303W
YNL189W,YLR328W
YNL189W,YLR377C
YNL189W,YML028W
YNL189W,YML042W
YNL189W,YMR226C
YNL189W,YMR239C
YNL189W,YNL044W
YNL189W,YNL331C
YNL189W,YOL058W
YNL189W,YOL082W
YNL189W,YOR020C
YNL189W,YOR095C
YNL189W,YOR155C
YNL189W,YOR229W
YNL189W,YOR284W
YNL189W,YOR380W
YNL189W,YPL049C
YNL189W,YPL088W
YNL189W,YPL111W
YNL189W,YPL214C
YNL189W,YPR062W
YNL189W,YPR193C
