Node,Degree
MEL1,1
YJL092W,4
Q0085,1
YCR106W,20
TORF1,1
TORF19,1
YDR361C,8
TORF21,1
YKR048C,15
TORF47,1
YAL005C,1
YBR101C,1
YAL012W,2
YAL016W,2
YIL065C,6
YNL127W,3
YAL020C,1
YBL071WA,1
YAL021C,4
YJL112W,12
YMR124W,7
YMR181C,4
YNR052C,5
YAL024C,1
YHR158C,6
YAL027W,1
YPL022W,3
YAL028W,1
YDL239C,24
YAL032C,8
YDR416W,8
YDR448W,23
YDR532C,4
YLR345W,11
YLR423C,82
YNL229C,13
YPL151C,2
YAL034WA,4
YGL172W,4
YGR120C,21
YJR112W,1
YKL103C,20
YAL036C,4
YDR152W,2
YOR174W,11
YAL040C,1
YJL013C,5
YAL041W,1
YBR200W,2
YAL044WA,4
YDR098C,4
YER174C,3
YNL218W,5
YNL249C,4
YAL046C,3
YKR034W,20
YAL049C,1
YNL094W,7
YAL054C,3
YDR216W,1
YLR049C,2
YNL189W,81
YAL055W,2
YDL100C,29
YGR133W,1
YAL060W,1
YER081W,18
YAL062W,1
YLR267W,3
YAR003W,2
YBR175W,1
YDR140W,3
YAR007C,1
YJL173C,2
YAR014C,1
YER133W,2
YAR018C,2
YAR027W,26
YAR028W,4
YBR042C,2
YDR100W,32
YDR411C,5
YEL042W,4
YER087CA,5
YGL104C,3
YGL225W,6
YGR284C,2
YJL097W,7
YJL117W,4
YJR013W,2
YJR044C,2
YLR279W,1
YLR350W,4
YML055W,5
YMR071C,9
YNL219C,5
YNL263C,9
YNL315C,6
YOL129W,3
YPL020C,7
YPR113W,10
YPR159CA,5
YAR031W,2
YBR217W,5
YCR030C,2
YAR033W,4
YGL051W,4
YAR035W,1
YER024W,1
YAR066W,1
YDR074W,2
YBL001C,2
YBL006C,1
YDR489W,7
YBL007C,1
YHR016C,4
YBL010C,1
YKR022C,3
YBL014C,1
YJL025W,8
YBL016W,2
YDR480W,15
YPL049C,29
YBL020W,2
YDR479C,37
YIR038C,52
YBL021C,2
YGL237C,6
YOR358W,3
YBL023C,7
YDR122W,2
YDR473C,6
YLR096W,1
YLR291C,91
YMR314W,9
YPL144W,2
YPR019W,1
YBL025W,1
YMR270C,2
YBL026W,3
YCR077C,4
YGR158C,3
YLR438CA,12
YBL033C,4
YNL105W,1
YPR172W,1
YBL035C,1
YNL102W,2
YBL037W,3
YFR043C,3
YJR058C,2
YBL039C,1
YJR103W,3
YBL042C,1
YER021W,2
YBL043W,2
YBL101WA,4
YDR099W,6
YBL045C,1
YPR191W,3
YBL046W,1
YNL201C,5
YBL047C,2
YGR241C,6
YBL051C,2
YIL151C,3
YKR096W,1
YBL056W,1
YDR071C,2
YBL057C,1
YMR276W,3
YBL058W,4
YDL190C,6
YFL044C,3
YNL155W,3
YBL060W,1
YOR094W,1
YBL068W,1
YOL061W,2
YBL069W,1
