strategy,fraction_removed,S,avg_s,nodes_remaining,edges_remaining
random,0.0,0.8161546085232904,2.016304347826087,2018,2930
random,0.02,0.788404360753221,1.9253731343283582,1978,2809
random,0.04,0.7601585728444004,1.811659192825112,1938,2693
random,0.06,0.7314172447968286,1.7838983050847457,1897,2604
random,0.08,0.7001982160555005,1.7549407114624507,1857,2484
random,0.1,0.6749256689791873,1.6977611940298507,1817,2382
random,0.15,0.6030723488602577,1.6045016077170418,1716,2127
random,0.19999999999999998,0.5391476709613479,1.5057142857142858,1615,1891
random,0.25,0.46878097125867196,1.44529262086514,1514,1596
random,0.3,0.4078295341922696,1.4081145584725536,1413,1425
random,0.4,0.3121902874132805,1.3085585585585586,1211,1092
random,0.5,0.22299306243805747,1.256179775280899,1009,805
random,0.6,0.12289395441030723,1.25,808,516
targeted_degree,0.0,0.8161546085232904,2.016304347826087,2018,2930
targeted_degree,0.02,0.5609514370664024,1.6114285714285714,1978,1907
targeted_degree,0.04,0.4236868186323092,1.6869158878504673,1938,1582
targeted_degree,0.06,0.12685827552031714,2.176392572944297,1897,1354
targeted_degree,0.08,0.04261645193260654,2.061699650756694,1857,1179
targeted_degree,0.1,0.02527254707631318,1.8867521367521367,1817,1039
targeted_degree,0.15,0.006442021803766105,1.6550048590864916,1716,802
targeted_degree,0.19999999999999998,0.004955401387512388,1.484736355226642,1615,627
targeted_degree,0.25,0.003468780971258672,1.3712465878070974,1514,491
targeted_degree,0.3,0.0019821605550049554,1.2832422586520946,1413,376
targeted_degree,0.4,0.0019821605550049554,1.1764132553606237,1211,225
targeted_degree,0.5,0.0014866204162537165,1.0934782608695652,1009,107
targeted_degree,0.6,0.0009910802775024777,1.0951086956521738,808,71
targeted_betweenness,0.0,0.8161546085232904,2.016304347826087,2018,2930
targeted_betweenness,0.02,0.6144697720515362,1.7571428571428571,1978,2050
targeted_betweenness,0.04,0.47770069375619423,1.748653500897666,1938,1743
targeted_betweenness,0.06,0.30921704658077304,1.905688622754491,1897,1496
targeted_betweenness,0.08,0.24826560951437066,1.8055925432756326,1857,1342
targeted_betweenness,0.1,0.06937561942517344,1.9988081048867699,1817,1191
targeted_betweenness,0.15,0.01288404360753221,1.7315573770491803,1716,910
targeted_betweenness,0.19999999999999998,0.005450941526263627,1.5132075471698114,1615,704
targeted_betweenness,0.25,0.005450941526263627,1.3763736263736264,1514,545
targeted_betweenness,0.3,0.002973240832507433,1.2896425297891843,1413,433
targeted_betweenness,0.4,0.002973240832507433,1.2037962037962038,1211,305
targeted_betweenness,0.5,0.0019821605550049554,1.145952109464082,1009,206
targeted_betweenness,0.6,0.0019821605550049554,1.1292134831460674,808,163
