initial_nodes,final_nodes,edges_per_step,avg_clustering,char_path_length,total_edges,avg_degree
5,100,3,0.2074290112974696,2.541212121212121,295,5.9
10,200,2,0.2381503383412123,3.1330150753768846,425,4.25
5,100,5,0.20750339612685323,2.2234343434343433,485,9.7
5,100,1,0.004170995670995672,4.155151515151515,105,2.1
10,200,1,0.011511148272017834,3.8135175879396983,235,2.35
10,500,2,0.09891261188236306,3.51374749498998,1025,4.1
20,300,1,0.027297642140806117,3.2219620958751394,470,3.1333333333333333
10,500,3,0.08945400542030967,3.1115991983967937,1515,6.06
15,200,2,0.3473824767777364,2.915075376884422,475,4.75
15,100,1,0.08550377302436127,2.822020202020202,190,3.8
20,100,3,0.49419727480737485,2.348888888888889,430,8.6
15,300,1,0.013444717134401702,3.441917502787068,390,2.6
20,100,5,0.4071409875009144,2.1486868686868688,590,11.8
5,300,3,0.07686786239739032,2.974738015607581,895,5.966666666666667
10,100,1,0.035929776106246696,3.252929292929293,135,2.7
10,300,1,0.004249713654214191,3.8309921962095874,335,2.2333333333333334
10,100,5,0.22809870983390515,2.203838383838384,495,9.9
15,500,3,0.1446872716355874,2.964625250501002,1560,6.24
10,300,3,0.10454528989247504,2.912263099219621,915,6.1
10,300,1,0.005059302766199317,4.024169453734671,335,2.2333333333333334
10,200,2,0.1752693920528893,3.084070351758794,425,4.25
20,500,3,0.16230414074874966,2.9339158316633265,1630,6.52
10,300,1,0.0049116005281490144,4.225150501672241,335,2.2333333333333334
10,100,3,0.2560781161840034,2.4793939393939395,315,6.3
20,300,1,0.027986141362848365,3.300891861761427,470,3.1333333333333333
10,300,2,0.14953548665744756,3.2524860646599776,625,4.166666666666667
20,500,5,0.12498677757875275,2.685458917835671,2590,10.36
10,300,2,0.13316798073559982,3.300535117056856,625,4.166666666666667
10,300,5,0.08731414674013001,2.6145373467112596,1495,9.966666666666667
20,300,2,0.3016942993390784,2.951594202898551,750,5.0
10,500,1,0.0026368365481925743,4.67838877755511,535,2.14
5,100,2,0.24347795763013153,2.8795959595959597,200,4.0
10,500,1,0.0023220154391257537,4.627062124248497,535,2.14
20,500,5,0.13094172511209867,2.677995991983968,2590,10.36
15,100,1,0.08520683106471907,2.964848484848485,190,3.8
15,300,1,0.015626107884414528,3.693088071348941,390,2.6
15,500,2,0.14509612565731225,3.373571142284569,1075,4.3
20,100,3,0.4870545887327071,2.366262626262626,430,8.6
